Comment,Lemmatized_Comment,Overall_CB_Status,Sexual_Type1,Sexual_Type2,Physical_Appearance,Race,Intellectual,General_Hate
total boner,total boner,0,0,0,0,0,0,0
oh fucking god cam,oh fucking god cam,0,0,0,0,0,0,0
cracked iphone,cracked iphone,0,0,0,0,0,0,0
cameron boner,cameron boner,0,0,0,0,0,0,0
cameron dallas perfect love,cameron dallas perfect love,0,0,0,0,0,0,0
cams boner though,cam boner though,0,0,0,0,0,0,0
victim alibi,victim alibi,0,0,0,0,0,0,0
haha cams hair,haha cam hair,0,0,0,0,0,0,0
still hot,still hot,0,0,0,0,0,0,0
killed me,killed me,0,0,0,0,0,0,0
oh god came Dazed killed mee Dazed,oh god came Dazed killed mee Dazed,0,0,0,0,0,0,0
cameron,cameron,0,0,0,0,0,0,0
nous veut voir cameron,nous veut voir cameron,0,0,0,0,0,0,0
outis et nasi aussi i i sie,outis et nasi aussi i i sie,0,0,0,0,0,0,0
cam get away parts face ebola,cam get away part face ebola,0,0,0,0,0,0,0
holy female oliveiraa,holy female oliveiraa,0,0,0,0,0,0,0
coiient caieron il chang quand i ie oh god Surprised,coiient caieron il chang quand i ie oh god Surprised,0,0,0,0,0,0,0
grave maintenant il est plus swag,grave maintenant il est plus swag,0,0,0,0,0,0,0
looking december,looking december,0,0,0,0,0,0,0
mended,mended,0,0,0,0,0,0,0
looking december,looking december,0,0,0,0,0,0,0
molding long hair cam,molding long hair cam,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
makes really sad,make really sad,0,0,0,0,0,0,0
tatta,tatta,0,0,0,0,0,0,0
oh god tay look cams hair,oh god tay look cam hair,0,0,0,0,0,0,0
heheheh ex,heheheh ex,0,0,0,0,0,0,0
sissy,sissy,0,0,0,0,0,0,0
cameron liked thiss,cameron liked thiss,0,0,0,0,0,0,0
cam ofmy,cam ofmy,0,0,0,0,0,0,0
cam liked this,cam liked this,0,0,0,0,0,0,0
cam liked,cam liked,0,0,0,0,0,0,0
looking old memories bro,looking old memory bro,0,0,0,0,0,0,0
see cameron,see cameron,0,0,0,0,0,0,0
cam of,cam of,0,0,0,0,0,0,0
cam,cam,0,0,0,0,0,0,0
cam small abs Pretzel long hair,cam small ab Pretzel long hair,0,0,0,0,0,0,0
comment want old wagon back,comment want old wagon back,0,0,0,0,0,0,0
like tearing looking old pics wagon miss bad come far since then,like tearing looking old pic wagon miss bad come far since then,0,0,0,0,0,0,0
darling sophia,darling sophia,0,0,0,0,0,0,0
know,know,0,0,0,0,0,0,0
castillo wanna cry,castillo wanna cry,0,0,0,0,0,0,0
claro,claro,0,0,0,0,0,0,0
preach,preach,0,0,0,0,0,0,0
actually right,actually right,0,0,0,0,0,0,0
less valentines day though hahahahaha,le valentine day though hahahahaha,0,0,0,0,0,0,0
hahaha ike,hahaha ike,0,0,0,0,0,0,0
pretty much,pretty much,0,0,0,0,0,0,0
well boyfriend get see today soo today cheer stunts snow,well boyfriend get see today soo today cheer stunt snow,0,0,0,0,0,0,0
less,le,0,0,0,0,0,0,0
oh yeah,oh yeah,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
always,always,0,0,0,0,0,0,0
told,told,0,0,0,0,0,0,0
ill valentine lana,ill valentine lana,0,0,0,0,0,0,0
morgan,morgan,0,0,0,0,0,0,0
life,life,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
ahahahhahahahahgahahhahahah true,ahahahhahahahahgahahhahahah true,0,0,0,0,0,0,0
today,today,0,0,0,0,0,0,0
ice cream though,ice cream though,0,0,0,0,0,0,0
us,u,0,0,0,0,0,0,0
eating sweets,eating sweet,0,0,0,0,0,0,0
om,om,0,0,0,0,0,0,0
well girl would perfect,well girl would perfect,0,0,0,0,0,0,0
lives,life,0,0,0,0,0,0,0
like definition life tbe,like definition life tbe,0,0,0,0,0,0,0
valentine,valentine,0,0,0,0,0,0,0
oh god less text mee morning leave,oh god le text mee morning leave,0,0,0,0,0,0,0
less,le,0,0,0,0,0,0,0
bed sheets,bed sheet,0,0,0,0,0,0,0
okay ill text bored hahaha,okay ill text bored hahaha,0,0,0,0,0,0,0
us Rolling Floor Laughing,u Rolling Floor Laughing,0,0,0,0,0,0,0
amen,amen,0,0,0,0,0,0,0
laughing loud less,laughing loud le,0,0,0,0,0,0,0
fuss,fuss,0,0,0,0,0,0,0
preach baby,preach baby,0,0,0,0,0,0,0
yeses,yes,0,0,0,0,0,0,0
less,le,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
stealing give credit,stealing give credit,0,0,0,0,0,0,0
umm might become real sloth,umm might become real sloth,0,0,0,0,0,0,0
laughing loud exactly said,laughing loud exactly said,0,0,0,0,0,0,0
sounds goo,sound goo,0,0,0,0,0,0,0
hello yeah,hello yeah,0,0,0,0,0,0,0
haha,haha,0,0,0,0,0,0,0
girl Happy,girl Happy,0,0,0,0,0,0,0
netflix Smile,netflix Smile,0,0,0,0,0,0,0
less,le,0,0,0,0,0,0,0
um yes please sleeppverre,um yes please sleeppverre,0,0,0,0,0,0,0
laughing yeah,laughing yeah,0,0,0,0,0,0,0
planning,planning,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
soo trite,soo trite,0,0,0,0,0,0,0
true,true,0,0,0,0,0,0,0
hahaha jam,hahaha jam,0,0,0,0,0,0,0
pretty much sums today,pretty much sum today,0,0,0,0,0,0,0
friends better,friend better,0,0,0,0,0,0,0
true,true,0,0,0,0,0,0,0
true,true,0,0,0,0,0,0,0
loner freaking life,loner freaking life,0,0,0,0,0,0,0
talkin bout oome valentine day day err day,talkin bout oome valentine day day err day,0,0,0,0,0,0,0
laughing loud yes,laughing loud yes,0,0,0,0,0,0,0
oome hot mine,oome hot mine,0,0,0,0,0,0,0
duh Peace,duh Peace,0,0,0,0,0,0,0
perfect,perfect,0,0,0,0,0,0,0
hate rest tub exact flavor week ago Crying,hate rest tub exact flavor week ago Crying,0,0,0,0,0,0,0
laughing yah memories,laughing yah memory,0,0,0,0,0,0,0
ofcourse,ofcourse,0,0,0,0,0,0,0
said tagged persons photo tagged private get,said tagged person photo tagged private get,0,0,0,0,0,0,0
oh whoops sorry,oh whoop sorry,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
perfect,perfect,0,0,0,0,0,0,0
Whatever relates much laughing loud,Whatever relates much laughing loud,0,0,0,0,0,0,0
perfection,perfection,0,0,0,0,0,0,0
yes lonely life,yes lonely life,0,0,0,0,0,0,0
sounds like day,sound like day,0,0,0,0,0,0,0
hahaha remember tag Smile,hahaha remember tag Smile,0,0,0,0,0,0,0
haha single yes,haha single yes,0,0,0,0,0,0,0
what text,what text,0,0,0,0,0,0,0
life,life,0,0,0,0,0,0,0
laughing true,laughing true,0,0,0,0,0,0,0
story life,story life,0,0,0,0,0,0,0
favorite flavor,favorite flavor,0,0,0,0,0,0,0
need ben jerry,need ben jerry,0,0,0,0,0,0,0
el de nosotros,el de nosotros,0,0,0,0,0,0,0
de papa,de papa,0,0,0,0,0,0,0
yup,yup,0,0,0,0,0,0,0
ass,as,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
love friends digi,love friend digi,0,0,0,0,0,0,0
oh god soo pretty meat years ago soo awesome,oh god soo pretty meat year ago soo awesome,0,0,0,0,0,0,0
met meat laughing loud,met meat laughing loud,0,0,0,0,0,0,0
woo,woo,0,0,0,0,0,0,0
app,app,0,0,0,0,0,0,0
oh fucking god,oh fucking god,0,0,0,0,0,0,0
oh god rachel amazing god bless little girl,oh god rachel amazing god bless little girl,0,0,0,0,0,0,0
today class,today class,0,0,0,0,0,0,0
ough,ough,0,0,0,0,0,0,0
rachel favorite,rachel favorite,0,0,0,0,0,0,0
amd favorite song,amd favorite song,0,0,0,0,0,0,0
fan giirrlliinng,fan giirrlliinng,0,0,0,0,0,0,0
need keep heel ground pedaling piano guy,need keep heel ground pedaling piano guy,0,0,0,0,0,0,0
perf oh god,perf oh god,0,0,0,0,0,0,0
love rachel,love rachel,0,0,0,0,0,0,0
love mean girls song actually favorite,love mean girl song actually favorite,0,0,0,0,0,0,0
om Dazed,om Dazed,0,0,0,0,0,0,0
rachel ily,rachel ily,0,0,0,0,0,0,0
ah,ah,0,0,0,0,0,0,0
please leave,please leave,0,0,0,0,0,0,0
waa,waa,0,0,0,0,0,0,0
could bitch please,could bitch please,1,0,0,0,0,0,1
mean girls good song,mean girl good song,0,0,0,0,0,0,0
rachel amazing singer,rachel amazing singer,0,0,0,0,0,0,0
fuck bow factor nimrod sing better life time stu,fuck bow factor nimrod sing better life time stu,1,0,0,0,0,0,1
girl bye looking like mars belie color purple,girl bye looking like mar belie color purple,0,0,0,1,0,0,0
little girl get business page oh god delete ignore see never trust bitch one cannot trusted poof,little girl get business page oh god delete ignore see never trust bitch one cannot trusted poof,1,0,0,0,0,0,1
oh god song knew one,oh god song knew one,0,0,0,0,0,0,0
one nicest talented people whole entire earth jealous need make fun changed world fans love need put stop anything calling names stop love rachel,one nicest talented people whole entire earth jealous need make fun changed world fan love need put stop anything calling name stop love rachel,0,0,0,0,0,0,0
less glad singing song goin kill girl Happy wanna watch laughing,le glad singing song goin kill girl Happy wanna watch laughing,0,0,0,0,0,0,0
wow amazing,wow amazing,0,0,0,0,0,0,0
damn hate shining come someone page talk smack laughing loud damn must noo life,damn hate shining come someone page talk smack laughing loud damn must noo life,1,0,0,0,0,0,1
love song bullied childhood,love song bullied childhood,0,0,0,0,0,0,0
yay,yay,0,0,0,0,0,0,0
big ass mic,big as mic,0,0,0,0,0,0,0
ignorant ass people post suh,ignorant as people post suh,0,0,0,0,0,0,0
laughing ass wow,laughing as wow,0,0,0,0,0,0,0
factor memories,factor memory,0,0,0,0,0,0,0
mira,mira,0,0,0,0,0,0,0
beautiful Smile,beautiful Smile,0,0,0,0,0,0,0
loved,loved,0,0,0,0,0,0,0
del tire laughing lot bisque en,del tire laughing lot bisque en,0,0,0,0,0,0,0
song auditioned factor ohnanaksbsjd,song auditioned factor ohnanaksbsjd,0,0,0,0,0,0,0
Smiling gorge twat,Smiling gorge twat,0,0,0,0,0,0,0
sang boy boot camp audition mercy still loved voice sang thing song get chills every time,sang boy boot camp audition mercy still loved voice sang thing song get chill every time,0,0,0,0,0,0,0
wow,wow,0,0,0,0,0,0,0
sure him,sure him,0,0,0,0,0,0,0
yeah sure,yeah sure,0,0,0,0,0,0,0
deem,deem,0,0,0,0,0,0,0
mic big,mic big,0,0,0,0,0,0,0
laughing abuse mic by sound beautiful,laughing abuse mic by sound beautiful,0,0,0,0,0,0,0
saying wrong swear thought song audition,saying wrong swear thought song audition,0,0,0,0,0,0,0
actually favorite song ever sang like feel sad go youtube replay watch factor performance like breath taking,actually favorite song ever sang like feel sad go youtube replay watch factor performance like breath taking,0,0,0,0,0,0,0
oh getting mad saying pretty sure sang mercy sorry thought rude,oh getting mad saying pretty sure sang mercy sorry thought rude,0,0,0,0,0,0,0
amazing voice thanks sharing gift world,amazing voice thanks sharing gift world,0,0,0,0,0,0,0
fine,fine,0,0,0,0,0,0,0
woah amazing,woah amazing,0,0,0,0,0,0,0
love cover,love cover,0,0,0,0,0,0,0
amazing voice,amazing voice,0,0,0,0,0,0,0
beautiful voice,beautiful voice,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
wow wish back factor robbed,wow wish back factor robbed,0,0,0,0,0,0,0
amazing voice beautiful song,amazing voice beautiful song,0,0,0,0,0,0,0
girl microphone huge love,girl microphone huge love,0,0,0,0,0,0,0
incredible wish would still factor deserve win,incredible wish would still factor deserve win,0,0,0,0,0,0,0
watched killed,watched killed,0,0,0,0,0,0,0
love rachel Kiss,love rachel Kiss,0,0,0,0,0,0,0
wow voice amazing,wow voice amazing,0,0,0,0,0,0,0
voice amazing cannot stop watching video may beautiful girl ive ever seen inside,voice amazing cannot stop watching video may beautiful girl ive ever seen inside,0,0,0,0,0,0,0
made day Smile cover skyfall adele,made day Smile cover skyfall adele,0,0,0,0,0,0,0
perfect oh god,perfect oh god,0,0,0,0,0,0,0
loved,loved,0,0,0,0,0,0,0
dreamt meeting got mad hahaha laughing loud,dreamt meeting got mad hahaha laughing loud,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
love voice,love voice,0,0,0,0,0,0,0
loveyou much girl Whatever amazing,loveyou much girl Whatever amazing,0,0,0,0,0,0,0
laughing lot que mas amo en laughing lot vida en laughing lot historic de factor,laughing lot que ma amo en laughing lot vida en laughing lot historic de factor,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
boy perfect way,boy perfect way,0,0,0,0,0,0,0
voice perfect,voice perfect,0,0,0,0,0,0,0
cud have put tiny bit,cud have put tiny bit,0,0,0,0,0,0,0
never ever heard someone sing like every song ive heard sing theres words,never ever heard someone sing like every song ive heard sing there word,0,0,0,0,0,0,0
like short,like short,0,0,0,0,0,0,0
love soo much,love soo much,0,0,0,0,0,0,0
beautiful voice great job song,beautiful voice great job song,0,0,0,0,0,0,0
puerto,puerto,0,0,0,0,0,0,0
wish could like,wish could like,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
best love,best love,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
looks ig singing heart Smile,look ig singing heart Smile,0,0,0,0,0,0,0
good singing,good singing,0,0,0,0,0,0,0
song,song,0,0,0,0,0,0,0
if boy beyonce,if boy beyonce,0,0,0,0,0,0,0
boy Watching beyonce,boy Watching beyonce,0,0,0,0,0,0,0
love song boy beyonce,love song boy beyonce,0,0,0,0,0,0,0
heard youtube fell love music,heard youtube fell love music,0,0,0,0,0,0,0
beyond haa,beyond haa,0,0,0,0,0,0,0
absolutely love song mainly though love,absolutely love song mainly though love,0,0,0,0,0,0,0
remember use love little girl laughing loud,remember use love little girl laughing loud,0,0,0,0,0,0,0
oh god less,oh god le,0,0,0,0,0,0,0
committing against muscle dam guys start something ment happen hes let,committing against muscle dam guy start something ment happen he let,0,0,0,0,0,0,0
hey comment back tag name,hey comment back tag name,0,0,0,0,0,0,0
friends cousin,friend cousin,0,0,0,0,0,0,0
ifs,ifs,0,0,0,0,0,0,0
old,old,0,0,0,0,0,0,0
oo,oo,0,0,0,0,0,0,0
white piece trash,white piece trash,1,0,0,1,1,0,0
old please say,old please say,0,0,0,0,0,0,0
cocky sumbitch ya,cocky sumbitch ya,1,0,0,0,0,0,1
flexing,flexing,0,0,0,0,0,0,0
guys like stupid expect girls love ridiculous bothers much hope see realize stupid guys like noticed,guy like stupid expect girl love ridiculous bother much hope see realize stupid guy like noticed,1,0,0,0,0,0,1
lol called it century,lol called it century,0,0,0,0,0,0,0
damn,damn,0,0,0,0,0,0,0
cute,cute,0,0,0,0,0,0,0
got muscles my,got muscle my,0,0,0,0,0,0,0
like anybody would love Stressed,like anybody would love Stressed,1,0,0,0,0,0,1
meanie,meanie,0,0,0,0,0,0,0
shove baby ugly,shove baby ugly,1,0,0,1,0,0,0
cannot make,cannot make,0,0,0,0,0,0,0
use grammar better atleast came last place ugly contest know cuz,use grammar better atleast came last place ugly contest know cuz,0,0,0,1,0,0,0
cuz,cuz,0,0,0,0,0,0,0
grow stop talking shit every single person ever commented,grow stop talking shit every single person ever commented,0,0,0,0,0,0,0
single taken,single taken,0,0,0,0,0,0,0
eye cannot grow even visited number,eye cannot grow even visited number,0,0,0,0,0,0,0
shut fuck grow pair stop arguing with everyone obviously nobody likes keep telling shut fuck princess one cares ugly contests bull shot matthew picture pregnant people like give shit grammar gives two shits grammar fucking dictionary,shut fuck grow pair stop arguing with everyone obviously nobody like keep telling shut fuck princess one care ugly contest bull shot matthew picture pregnant people like give shit grammar give two shit grammar fucking dictionary,1,0,0,1,0,1,1
shit,shit,0,0,0,0,0,0,0
care cuz already skipping grades may younger slot power,care cuz already skipping grade may younger slot power,0,0,0,0,0,0,0
nice muscles,nice muscle,0,0,0,0,0,0,0
love please notice,love please notice,0,0,0,0,0,0,0
wow like muscles,wow like muscle,0,0,0,0,0,0,0
muscles,muscle,0,0,0,0,0,0,0
look like,look like,0,0,0,0,0,0,0
look like foot,look like foot,1,0,0,0,0,0,0
yoo number,yoo number,0,0,0,0,0,0,0
slays,slays,0,0,0,0,0,0,0
muscles,muscle,0,0,0,0,0,0,0
know,know,0,0,0,0,0,0,0
muscles,muscle,0,0,0,0,0,0,0
doe,doe,0,0,0,0,0,0,0
old,old,0,0,0,0,0,0,0
mom,mom,0,0,0,0,0,0,0
younger,younger,0,0,0,0,0,0,0
biceps though,biceps though,0,0,0,0,0,0,0
tool,tool,0,0,0,0,0,0,0
damn biceps doe,damn biceps doe,0,0,0,0,0,0,0
dem muscles doe,dem muscle doe,0,0,0,0,0,0,0
holy moly cutie,holy moly cutie,0,0,0,0,0,0,0
base,base,0,0,0,0,0,0,0
wow brother flex harder,wow brother flex harder,0,0,0,0,0,0,0
lolololol pussy wet,lolololol pussy wet,0,0,0,0,0,0,0
sexiest picture ever seen,sexiest picture ever seen,0,0,0,0,0,0,0
tell lefty,tell lefty,0,0,0,0,0,0,0
oh god,oh god,0,0,0,0,0,0,0
om biceps,om biceps,0,0,0,0,0,0,0
lefty,lefty,0,0,0,0,0,0,0
karma,karma,0,0,0,0,0,0,0
lingua,lingua,0,0,0,0,0,0,0
diese,diese,0,0,0,0,0,0,0
oriented,oriented,0,0,0,0,0,0,0
idle,idle,0,0,0,0,0,0,0
inter,inter,0,0,0,0,0,0,0
uruguay,uruguay,0,0,0,0,0,0,0
trying say,trying say,0,0,0,0,0,0,0
dang,dang,0,0,0,0,0,0,0
williams,williams,0,0,0,0,0,0,0
muscles though,muscle though,0,0,0,0,0,0,0
oh god mussels silly ex,oh god mussel silly ex,0,0,0,0,0,0,0
fucking flexing,fucking flexing,0,0,0,0,0,0,0
arms,arm,0,0,0,0,0,0,0
flex zone,flex zone,0,0,0,0,0,0,0
told bring toolbox looks like left tool picture,told bring toolbox look like left tool picture,1,0,0,1,0,0,0
oh god hahaha dumb,oh god hahaha dumb,0,0,0,0,0,0,0
restrepo,restrepo,0,0,0,0,0,0,0
posted picture snapchat,posted picture snapchat,0,0,0,0,0,0,0
oh god really,oh god really,0,0,0,0,0,0,0
oh god,oh god,0,0,0,0,0,0,0
like recent aged pic cousin cancer aged please matthew please,like recent aged pic cousin cancer aged please matthew please,0,0,0,0,0,0,0
really notice fans,really notice fan,0,0,0,0,0,0,0
brother going pop blood vessel flexing hard,brother going pop blood vessel flexing hard,0,0,0,0,0,0,0
love sure notice kind comments,love sure notice kind comment,0,0,0,0,0,0,0
umm love face muscles,umm love face muscle,0,0,0,0,0,0,0
stu getting pals hopes nothing,stu getting pal hope nothing,0,0,0,0,0,0,0
ok done,ok done,0,0,0,0,0,0,0
flexing,flexing,0,0,0,0,0,0,0
got hacked,got hacked,0,0,0,0,0,0,0
face look like looks ugly gang hate,face look like look ugly gang hate,1,0,0,1,0,0,0
hahhahahaha,hahhahahaha,0,0,0,0,0,0,0
bea,bea,0,0,0,0,0,0,0
farhad,farhad,0,0,0,0,0,0,0
farhad,farhad,0,0,0,0,0,0,0
hot,hot,0,0,0,0,0,0,0
sorry spam,sorry spam,1,0,0,0,0,0,0
buff,buff,0,0,0,0,0,0,0
attractive person alert,attractive person alert,0,0,0,0,0,0,0
weird hot garrett anyways get weird ones anyway,weird hot garrett anyways get weird one anyway,0,0,0,0,0,0,0
i though,i though,0,0,0,0,0,0,0
scrawny,scrawny,0,0,0,0,0,0,0
imagine begin booty pic,imagine begin booty pic,0,0,0,0,0,0,0
giving him,giving him,0,0,0,0,0,0,0
muscles too,muscle too,0,0,0,0,0,0,0
mac,mac,0,0,0,0,0,0,0
arms,arm,0,0,0,0,0,0,0
dally arms hair,dally arm hair,0,0,0,0,0,0,0
well day dream boy,well day dream boy,0,0,0,0,0,0,0
damn probably better version taylor,damn probably better version taylor,0,0,0,0,0,0,0
wow,wow,0,0,0,0,0,0,0
muscular thought,muscular thought,0,0,0,0,0,0,0
laughing loud account profile,laughing loud account profile,0,0,0,0,0,0,0
calm,calm,0,0,0,0,0,0,0
calm neighborhood,calm neighborhood,0,0,0,0,0,0,0
om soo lucky,om soo lucky,0,0,0,0,0,0,0
oh god lucky,oh god lucky,0,0,0,0,0,0,0
oh god congrats holy shit,oh god congrats holy shit,0,0,0,0,0,0,0
oh god lucky,oh god lucky,0,0,0,0,0,0,0
oh fucking god tweeted lucky,oh fucking god tweeted lucky,0,0,0,0,0,0,0
tweet made say,tweet made say,0,0,0,0,0,0,0
lucky,lucky,0,0,0,0,0,0,0
oh god,oh god,0,0,0,0,0,0,0
oom,oom,0,0,0,0,0,0,0
tweeted,tweeted,0,0,0,0,0,0,0
sksjsiejajdwkckisjdejdjsjja holy fuck lucky little shit,sksjsiejajdwkckisjdejdjsjja holy fuck lucky little shit,0,0,0,0,0,0,0
oh fucking god congrats,oh fucking god congrats,0,0,0,0,0,0,0
lucky,lucky,0,0,0,0,0,0,0
fuck,fuck,0,0,0,0,0,0,0
oh fucking god lucky,oh fucking god lucky,0,0,0,0,0,0,0
wait happened,wait happened,0,0,0,0,0,0,0
congrats,congrats,0,0,0,0,0,0,0
congrats fingerling,congrats fingerling,0,0,0,0,0,0,0
congrats om,congrats om,0,0,0,0,0,0,0
oh lucky duck congrats girl,oh lucky duck congrats girl,0,0,0,0,0,0,0
congrats,congrats,0,0,0,0,0,0,0
oh fucking god lucky congrats,oh fucking god lucky congrats,0,0,0,0,0,0,0
egg know say ohgghggsbr bsowondbrhdjjasdfghjkl,egg know say ohgghggsbr bsowondbrhdjjasdfghjkl,0,0,0,0,0,0,0
post picture tweet,post picture tweet,0,0,0,0,0,0,0
rquridhwujfeu,rquridhwujfeu,0,0,0,0,0,0,0
holy shit dude life goal,holy shit dude life goal,0,0,0,0,0,0,0
congrats babe,congrats babe,0,0,0,0,0,0,0
post photo tweet ill pop screen eat cookies orange juice,post photo tweet ill pop screen eat cooky orange juice,0,0,0,0,0,0,0
super sorry calm hood,super sorry calm hood,0,0,0,0,0,0,0
youaresolucjy oh fucking god,youaresolucjy oh fucking god,0,0,0,0,0,0,0
cute guy ex,cute guy ex,0,0,0,0,0,0,0
afhavfbsfijbveojfbhcjodebvjpebfvjoefbvojbefjowbvfjobvojbefgojbihefvbojvbjowbvjorwbojwvrbojbwrvjobjowrv,afhavfbsfijbveojfbhcjodebvjpebfvjoefbvojbefjowbvfjobvojbefgojbihefvbojvbjowbvjorwbojwvrbojbwrvjobjowrv,0,0,0,0,0,0,0
oh god congrats,oh god congrats,0,0,0,0,0,0,0
om know calm neighborhood sos toured the,om know calm neighborhood so toured the,0,0,0,0,0,0,0
holy shit,holy shit,0,0,0,0,0,0,0
deleted tweet,deleted tweet,0,0,0,0,0,0,0
oh fucking god fingerling omffgg,oh fucking god fingerling omffgg,0,0,0,0,0,0,0
noo,noo,0,0,0,0,0,0,0
oh fucking god dhdoanxoqndksakdk,oh fucking god dhdoanxoqndksakdk,0,0,0,0,0,0,0
om,om,0,0,0,0,0,0,0
gosh,gosh,0,0,0,0,0,0,0
lucckkyy,lucckkyy,0,0,0,0,0,0,0
what agwgufhikred,what agwgufhikred,0,0,0,0,0,0,0
ongsbjs sea,ongsbjs sea,0,0,0,0,0,0,0
houses,house,0,0,0,0,0,0,0
asks,asks,0,0,0,0,0,0,0
mdiismxws,mdiismxws,0,0,0,0,0,0,0
sits,sits,0,0,0,0,0,0,0
keys,key,0,0,0,0,0,0,0
oh god happy,oh god happy,0,0,0,0,0,0,0
omgomgomgomg,omgomgomgomg,0,0,0,0,0,0,0
oh fucking god soo lucky,oh fucking god soo lucky,0,0,0,0,0,0,0
happy,happy,0,0,0,0,0,0,0
ooghhdd,ooghhdd,0,0,0,0,0,0,0
wheezing,wheezing,0,0,0,0,0,0,0
jnnsnjani i pains,jnnsnjani i pain,0,0,0,0,0,0,0
ckofesopfkgp,ckofesopfkgp,0,0,0,0,0,0,0
oh god yoi lucky happy,oh god yoi lucky happy,0,0,0,0,0,0,0
dyrssrystrdysuetstuedutrsturd,dyrssrystrdysuetstuedutrsturd,0,0,0,0,0,0,0
cjshdvgebshruehjwjgshdbdydhvdgdyhdbfhdjhenduejudjjdjhehhdhebisjxynwidgdyegudjepbsyd really happy,cjshdvgebshruehjwjgshdbdydhvdgdyhdbfhdjhenduejudjjdjhehhdhebisjxynwidgdyegudjepbsyd really happy,0,0,0,0,0,0,0
tweet,tweet,0,0,0,0,0,0,0
deleted wanna know,deleted wanna know,0,0,0,0,0,0,0
twitter username,twitter username,0,0,0,0,0,0,0
hsiaivskwusgnrjfobsvwuwvndihcjdnwiwgrotjbbwkaoso,hsiaivskwusgnrjfobsvwuwvndihcjdnwiwgrotjbbwkaoso,0,0,0,0,0,0,0
holy cheeseball your lucky,holy cheeseball your lucky,0,0,0,0,0,0,0
oh god lucky,oh god lucky,0,0,0,0,0,0,0
aajgdgatggagjfshdtjocehauio,aajgdgatggagjfshdtjocehauio,0,0,0,0,0,0,0
lucky,lucky,0,0,0,0,0,0,0
soooo luuccvcckkyy,soooo luuccvcckkyy,0,0,0,0,0,0,0
lucky mother offer,lucky mother offer,0,0,0,0,0,0,0
Tigger,Tigger,0,0,0,0,0,0,0
oh gee hate lucky,oh gee hate lucky,0,0,0,0,0,0,0
see ok,see ok,0,0,0,0,0,0,0
audndjdjwidjfn,audndjdjwidjfn,0,0,0,0,0,0,0
kwndissnisensiwns,kwndissnisensiwns,0,0,0,0,0,0,0
asdfghjkl diana janebejddbwhansus whajsjsjwjssniensnsbs,asdfghjkl diana janebejddbwhansus whajsjsjwjssniensnsbs,0,0,0,0,0,0,0
asdfghjkl,asdfghjkl,0,0,0,0,0,0,0
ofmy,ofmy,0,0,0,0,0,0,0
hierlelaawjenajdjd,hierlelaawjenajdjd,0,0,0,0,0,0,0
tweet saying Surprised,tweet saying Surprised,0,0,0,0,0,0,0
oh fucking god lucky,oh fucking god lucky,0,0,0,0,0,0,0
lucky lucky girl,lucky lucky girl,0,0,0,0,0,0,0
ooaooaoohookrzoak,ooaooaoohookrzoak,0,0,0,0,0,0,0
omhomtshit,omhomtshit,0,0,0,0,0,0,0
hoktshithow,hoktshithow,0,0,0,0,0,0,0
omfgyoulvujy,omfgyoulvujy,0,0,0,0,0,0,0
nowwkfomdg,nowwkfomdg,0,0,0,0,0,0,0
holy shot,holy shot,0,0,0,0,0,0,0
omgomgomgongomg,omgomgomgongomg,0,0,0,0,0,0,0
never des back ah laughing congrats,never de back ah laughing congrats,0,0,0,0,0,0,0
holy king shit man holy crap,holy king shit man holy crap,0,0,0,0,0,0,0
omgomgomg,omgomgomg,0,0,0,0,0,0,0
hey baby loving account would mind ifl ex thanks ex,hey baby loving account would mind ifl ex thanks ex,0,0,0,0,0,0,0
ex,ex,0,0,0,0,0,0,0
holyfuck holy shit,holyfuck holy shit,0,0,0,0,0,0,0
jelly oh god cannot even,jelly oh god cannot even,0,0,0,0,0,0,0
Tigger male female,Tigger male female,0,0,0,0,0,0,0
lucky,lucky,0,0,0,0,0,0,0
lucky,lucky,0,0,0,0,0,0,0
lucky,lucky,0,0,0,0,0,0,0
cool,cool,0,0,0,0,0,0,0
your lucky oh fucking god,your lucky oh fucking god,0,0,0,0,0,0,0
holy shiz nuggets,holy shiz nugget,0,0,0,0,0,0,0
lucky shit,lucky shit,0,0,0,0,0,0,0
remember,remember,0,0,0,0,0,0,0
hate,hate,0,0,0,0,0,0,1
kate told nearly cried oh god,kate told nearly cried oh god,0,0,0,0,0,0,0
lucky,lucky,0,0,0,0,0,0,0
congratulations girl,congratulation girl,0,0,0,0,0,0,0
aw,aw,0,0,0,0,0,0,0
please tell follow direction ily please oh god oh god lucky kiss jelly,please tell follow direction ily please oh god oh god lucky kiss jelly,0,0,0,0,0,0,0
