,Lemmatized_Comment,Sexual_Type1,Sexual_Type2,Physical_Appearance,Race,Intellectual,General_Hate
2379,alli much better,0,0,0,0,0,0
2380,wwe battle pack series randy orion versus mason ryan,0,0,0,0,0,0
2381,hair perfect die,0,0,0,0,0,0
2382,know stu laughing loud bout take advice buddy,0,0,0,0,0,0
2383,wow Peace,0,0,0,0,0,0
2384,get alone tell need tell something really want awkward tell guy surprised cool,0,0,0,0,0,0
2385,shout,0,0,0,0,0,0
2386,nice ipad,0,0,0,0,0,0
2387,come anthem,0,0,0,0,0,0
2388,hot,0,0,0,0,0,0
2389,one day get little blue box,0,0,0,0,0,0
2390,probably want talk someone comment time tbe think approach,0,0,0,0,0,0
2391,think tailslide,0,0,0,0,0,0
2392,it people telling truth want get mad concerned family,0,0,0,0,0,0
2393,place like california may it i tha land fake pleaie,0,0,0,0,0,0
2394,please please post workout need help,0,0,0,0,0,0
2395,exactly instagram spell everything perfect problem wit come solve,0,0,0,0,0,0
2396,lemon ade,0,0,0,0,0,0
2397,egg know say ohgghggsbr bsowondbrhdjjasdfghjkl,0,0,0,0,0,0
2398,grandmother,0,0,0,0,0,0
2399,sully,0,0,0,0,0,0
2400,come check profile awesome scenic travel pic,0,0,0,0,0,0
2401,guy live saudi arabia born please let every know happening saudi killing family humanity,0,0,0,0,0,0
2402,sexy,0,0,0,0,0,0
2403,loving hair,0,0,0,0,0,0
2404,rule cannot reply back anyone Stressed,0,0,0,0,0,0
2405,le glad singing song goin kill girl Happy wanna watch laughing,0,0,0,0,0,0
2406,fam back atlanta hum wen need next hair cut,0,0,0,0,0,0
2407,go skate fun raining happy birth day boston,0,0,0,0,0,0
2408,one,0,0,0,0,0,0
2409,hair oh god,0,0,0,0,0,0
2410,Headlights lord hahaha,0,0,0,0,0,0
2411,turtle beach,0,0,0,0,0,0
2412,copy bitch,0,0,0,0,0,0
2413,pretty much like song beaten part,0,0,0,0,0,0
2414,basically series literally sanity right thank,0,0,0,0,0,0
2415,and yay,0,0,0,0,0,0
2416,ugh rely cannot let whatever follow,0,0,0,0,0,0
2417,first like,0,0,0,0,0,0
2418,bigger destined world heavyweight champion bigger deserve another shot,0,0,0,0,0,0
2419,lemonade,0,0,0,0,0,0
2420,touching congratulation success strength,0,0,0,0,0,0
2421,lindo,0,0,0,0,0,0
2422,pink lemonade,0,0,0,0,0,0
2423,total boner,0,0,0,0,0,0
2424,laughing veil,0,0,0,0,0,0
2425,gemma sua linda,0,0,0,0,0,0
2426,love jean white tee much fly knit though,0,0,0,0,0,0
2427,got lot og,0,0,0,0,0,0
2428,love best guy friend,0,0,0,0,0,0
2429,thanks also,0,0,0,0,0,0
2430,wait happened,0,0,0,0,0,0
2431,somebody called might got friend,0,0,0,0,0,0
2432,jajajjaja is hier,0,0,0,0,0,0
2433,pretty pink love yes,0,0,0,0,0,0
2434,bad day,0,0,0,0,0,0
2435,yeah read comment,0,0,0,0,0,0
2436,muito swag as,0,0,0,0,0,0
2437,idiot happens right mean neither u know sure right say living life lie fucking clue believe want want,0,0,0,0,0,0
2438,life,0,0,0,0,0,0
2439,looking weak hell bambi footsie as,0,0,0,0,0,0
2440,would awesome find iphone shot footage,0,0,0,0,0,0
2441,oh god feel,0,0,0,0,0,0
2442,everyone hate fake look pretty dam cute,0,0,0,0,0,0
2443,conner,0,0,0,0,0,0
2444,still mad clan let squeaker laughing as look back,0,0,0,0,0,0
2445,wanna bitch,0,0,0,0,0,0
2446,verse phresh,0,0,0,0,0,0
2447,yes oh god,0,0,0,0,0,0
2448,boyfriend broke really confused parent cuz allowed date cannot show feeling really wanna cry think totally fine best friend immediately activated sad,0,0,0,0,0,0
2449,always making shit interesting,0,0,0,0,0,0
2450,right also family member gay mistreat,0,0,0,0,0,0
2451,fan giirrlliinng,0,0,0,0,0,0
2452,sexy,0,0,0,0,0,0
2453,naked gun,0,0,0,0,0,0
2454,love haircut,0,0,0,0,0,0
2455,oh god,0,0,0,0,0,0
2456,actually threw joke,0,0,0,0,0,0
2457,call almost follower small me cry corner,0,0,0,0,0,0
2458,perfect gem fuck,0,0,0,0,0,0
2459,friend always start drama always get really cannot get like way shy,0,0,0,0,0,0
2460,hey nobody fat juicy thick hard internet code modem thanx oh thought wad going say,0,0,0,0,0,0
2461,battle pack randy orion versus mason ryan,0,0,0,0,0,0
2462,dang,0,0,0,0,0,0
2463,know child loving family better people may hell lot better dysfunctional straight couple,0,0,0,0,0,0
2464,ok den,0,0,0,0,0,0
2465,damn adorable,0,0,0,0,0,0
2466,received indigo dyed vista washed yet wore white today took color vista came shirt know washed expect transfer dry shirt many wash take happen thanks guy,0,0,0,0,0,0
2467,talkin bout oome valentine day day err day,0,0,0,0,0,0
2468,definitely bad day get every time listen,0,0,0,0,0,0
2469,agree,0,0,0,0,0,0
2470,ahahahaahhahahahaha Winking,0,0,0,0,0,0
2471,hope break nigger arm using cross arm breaker,0,0,0,0,0,0
2472,lemon iced tea cookie crumble starbucks oh joy,0,0,0,0,0,0
2473,come keyboard kill like myself waste yes time fuck couple stack hello stack chile sit,0,0,0,0,0,0
2474,oh fucking god sully,0,0,0,0,0,0
2475,perfection,0,0,0,0,0,0
2476,nigga hating baby mass remember fuckked got pregnant people fuck around world sum took nigga back came wit sum dick blunt fake as pill half pint tikka jus happen to wit wrong wrong god judge,0,0,0,0,0,0
2477,hell yea,0,0,0,0,0,0
2478,hot,0,0,0,0,0,0
2479,my idol di ala toothbrush laughing,0,0,0,0,0,0
2480,true biological birth mother actually adolf hitler,0,0,0,0,0,0
2481,Smile,0,0,0,0,0,0
2482,totally agree comment hysterical cannot believe people actually argue like laughing loud,0,0,0,0,0,0
2483,battle pack series randy orion mason ryan,0,0,0,0,0,0
2484,matthew love soo mich life would please follow please tthewsherrill please,0,0,0,0,0,0
2485,factor memory,0,0,0,0,0,0
2486,look try tell living rural area better big city,0,0,0,0,0,0
2487,one know cannot except possibly could,0,0,0,0,0,0
2488,getting drunk killing sting,0,0,0,0,0,0
2489,saying pretty noo Happy,0,0,0,0,0,0
2490,love song bullied childhood,0,0,0,0,0,0
2491,watch mouth,0,0,0,0,0,0
2492,uh oh bubba come jay,0,0,0,0,0,0
2493,asdfghjlkl powwow perfect love much,0,0,0,0,0,0
2494,religious picking fight stranger instagram defending bible thanks getting speed stop wasting time engaging conversation get life,0,0,0,0,0,0
2495,laughing loud cannot,0,0,0,0,0,0
2496,yes laughing loud,0,0,0,0,0,0
2497,song dope unreal,0,0,0,0,0,0
2498,hayes wearing cam march,0,0,0,0,0,0
2499,check online help we stream flyknitfridays,0,0,0,0,0,0
2500,oh ok,0,0,0,0,0,0
2501,hahahahahahaha good one,0,0,0,0,0,0
2502,loner freaking life,0,0,0,0,0,0
2503,laughing loud,0,0,0,0,0,0
2504,show fake duh know winner leaf fool frost fool,0,0,0,0,0,0
2505,thank finally someone agrees,0,0,0,0,0,0
2506,plain simply ignorant else put far concern pussy basic function question make pussy special different prostitute pussy,0,0,0,0,0,0
2507,cray fucking wizard ad,0,0,0,0,0,0
2508,package shipped today updated fed ex system tracking information tomorrow,0,0,0,0,0,0
2509,oh god his zo snap eh,0,0,0,0,0,0
2510,look handsome,0,0,0,0,0,0
2511,fair enough homosexual lead different lifestyle straight love sex nothing else change,0,0,0,0,0,0
2512,battle pack randy orion versus mason ryan including steel chair,0,0,0,0,0,0
2513,true,0,0,0,0,0,0
2514,go watch love macklemore free panty bunch individual right starting opinion relax argue someone obey belief arrogance thanks nice say Happy,0,0,0,0,0,0
2515,robertwmeunier con,0,0,0,0,0,0
2516,stop talking yourself,0,0,0,0,0,0
2517,laughing funny,0,0,0,0,0,0
2518,instar fight leggy,0,0,0,0,0,0
2519,happy birthday alli,0,0,0,0,0,0
2520,om know calm neighborhood so toured the,0,0,0,0,0,0
2521,beautiful,0,0,0,0,0,0
2522,calling white trash fag,0,0,0,0,0,0
2523,saw comment mine Teasing ilya,0,0,0,0,0,0
2524,one beauty hand,0,0,0,0,0,0
2525,yeah jesus gun totally,0,0,0,0,0,0
2526,know dream follow,0,0,0,0,0,0
2527,naked gun,0,0,0,0,0,0
2528,go wherever pretty sure heart would stop,0,0,0,0,0,0
2529,sorry read shit need people fighting stupid stuff pic,0,0,0,0,0,0
2530,yeah see video sorry sorry asked skype bet sounded greedy like every year old fanboy know say skype,0,0,0,0,0,0
2531,guy really need calm fuck joke,0,0,0,0,0,0
2532,lobe ex best friend know acted like a told,0,0,0,0,0,0
2533,cannot even guy take load pic text everything cause ahahshaodmisjsalqopadnsn happy oh god,0,0,0,0,0,0
2534,jesus fucking christ leave alone wish fucking friend would go gym six morning,0,0,0,0,0,0
2535,love hair,0,0,0,0,0,0
2536,gay bacon,0,0,0,0,0,0
2537,received april package yet charged emailed guy got response email andrew,0,0,0,0,0,0
2538,oh fucking god,0,0,0,0,0,0
2539,still hot,0,0,0,0,0,0
2540,but,0,0,0,0,0,0
2541,know dat exactly going cuz talk shit say comin u bitch ever see jersey swear uncle grave gonna fuck,0,0,0,0,0,0
2542,sexy,0,0,0,0,0,0
2543,oh god lucky,0,0,0,0,0,0
2544,wwe battle pack randy orion mason ryan chair,0,0,0,0,0,0
2545,happened birthday,0,0,0,0,0,0
2546,hung jealous want meet soo bad,0,0,0,0,0,0
2547,okay ill text bored hahaha,0,0,0,0,0,0
2548,da stint,0,0,0,0,0,0
2549,think help music best medicine,0,0,0,0,0,0
2550,nike so Watching boston nike,0,0,0,0,0,0
2551,yes,0,0,0,0,0,0
2552,looking lady,0,0,0,0,0,0
2553,everyone hate,0,0,0,0,0,0
2554,um cannot coz logan Winking Teasing,0,0,0,0,0,0
2555,cannot,0,0,0,0,0,0
2556,using lord name word area suh,0,0,0,0,0,0
2557,oh fucking god amazing,0,0,0,0,0,0
2558,aw,0,0,0,0,0,0
2559,last time checked thou shall kill ten commandment,0,0,0,0,0,0
2560,laugh loud,0,0,0,0,0,0
2561,of,0,0,0,0,0,0
2562,may exaggerating sometimes little thought doubt boyfriend like another girl together month text often pretty sure always talking girl part life year like reason refuse talk room prefers alone time boyfriend get it something secretive exclude girlfriend tell something general make sense pretty sure love hoping best expecting worse thanks reading,0,0,0,0,0,0
2563,watched killed,0,0,0,0,0,0
2564,battle,0,0,0,0,0,0
2565,worst song ever heard,0,0,0,0,0,0
2566,would say verse bio going act like acting foolish claiming believer clearly,0,0,0,0,0,0
2567,san bernardo native,0,0,0,0,0,0
2568,beautiful couple,0,0,0,0,0,0
2569,thank,0,0,0,0,0,0
2570,ich wetter die letter lace war thomas,0,0,0,0,0,0
2571,actually right,0,0,0,0,0,0
2572,love picture,0,0,0,0,0,0
2573,literally cannot,0,0,0,0,0,0
2574,saw Smile cutest,0,0,0,0,0,0
2575,make damon fizzy one,0,0,0,0,0,0
2576,bad day sweet little pill mean amazing song also think show really great also others song really good,0,0,0,0,0,0
2577,nba chose showcase,0,0,0,0,0,0
2578,real,0,0,0,0,0,0
2579,isso seu lady,0,0,0,0,0,0
2580,well boyfriend get see today soo today cheer stunt snow,0,0,0,0,0,0
2581,le true,0,0,0,0,0,0
2582,oh god mussel silly ex,0,0,0,0,0,0
2583,people kind understand said give shit thanks showing true color,0,0,0,0,0,0
2584,cannot stop laughing,0,0,0,0,0,0
2585,used different apps,0,0,0,0,0,0
2586,video dope,0,0,0,0,0,0
2587,manipulating common people using religion promote use killing machine,0,0,0,0,0,0
2588,really serious roll know would deftly holler back tried,0,0,0,0,0,0
2589,hahahahahahhaah de i da mina i i ldiai,0,0,0,0,0,0
2590,lip ashy hell seat Whatever,0,0,0,0,0,0
2591,ok depressed lately cause friend committed suicide everything life seems horrible blah feel like nothing good ever happen cry everyone night missing,0,0,0,0,0,0
2592,sexy,0,0,0,0,0,0
2593,sorry cousin told kermit left reason yes know dan got kicked super sorry probably big jerk,0,0,0,0,0,0
2594,airplane,0,0,0,0,0,0
2595,actually like read cray fucking wizard know giftcard,0,0,0,0,0,0
2596,know filter Smile,0,0,0,0,0,0
2597,lao ma would,0,0,0,0,0,0
2598,ruby amorzinho see mail est o nostra but,0,0,0,0,0,0
2599,qual Tigger seu prTiggerblema,0,0,0,0,0,0
2600,enjoy,0,0,0,0,0,0
2601,uh alive glass,0,0,0,0,0,0
2602,love,0,0,0,0,0,0
2603,baby,0,0,0,0,0,0
2604,female person killed people,0,0,0,0,0,0
2605,cool,0,0,0,0,0,0
2606,laughing oh deaf,0,0,0,0,0,0
2607,matter,0,0,0,0,0,0
2608,both,0,0,0,0,0,0
2609,rachel favorite,0,0,0,0,0,0
2610,Whatever,0,0,0,0,0,0
2611,yeah laughing loud,0,0,0,0,0,0
2612,oh yeah le or yes est fran is mihi maintenant je suis fi re tre fran ise male proud french,0,0,0,0,0,0
2613,spelled america wrong harsher law gun cannot spell country love want protect even gun,0,0,0,0,0,0
2614,like record,0,0,0,0,0,0
2615,gorgeous,0,0,0,0,0,0
2616,day,0,0,0,0,0,0
2617,lucky girl,0,0,0,0,0,0
2618,cannot believe shit rasheed even going disrespectful Pretzel call name brought tear would something like definitely deserve beautiful queen like prayer,0,0,0,0,0,0
2619,itsmilli louisville my looking get signed send demo,0,0,0,0,0,0
2620,amen,0,0,0,0,0,0
2621,everyone gay bacon it dew,0,0,0,0,0,0
2622,right,0,0,0,0,0,0
2623,he,0,0,0,0,0,0
2624,same,0,0,0,0,0,0
2625,rey mysterion ive seen picture,0,0,0,0,0,0
2626,next year going class girly biatch popular funny guy best friend much tbe whenever guy ignores whole time tell hang guy find funny say perverted joke pretty lame good friend going class Turtle hate school moved,0,0,0,0,0,0
2627,bad day obviously,0,0,0,0,0,0
2628,disgusting,0,0,0,0,0,0
2629,dope,0,0,0,0,0,0
2630,laughing loud yes,0,0,0,0,0,0
2631,cam get away part face ebola,0,0,0,0,0,0
2632,like pant,0,0,0,0,0,0
2633,om,0,0,0,0,0,0
2634,cute relatable enjoy presence,0,0,0,0,0,0
2635,mine,0,0,0,0,0,0
2636,smile warms heart,0,0,0,0,0,0
2637,got hacked,0,0,0,0,0,0
2638,stop reading die teresa fidalgo oat ti page sleep forever girl ignored mom dy day later even search google,0,0,0,0,0,0
2639,nose grind Kiss,0,0,0,0,0,0
2640,loved couple last season season truly heartbreaking pray attitude towards unborn angel scripted pray see child blessing,0,0,0,0,0,0
2641,he funny,0,0,0,0,0,0
2642,tired pretending okay reality wanna cry every second,0,0,0,0,0,0
2643,since said bitch havent commented think cuz afraid gonna show police probably keep talkin shit,0,0,0,0,0,0
2644,pink lemonade,0,0,0,0,0,0
2645,totally agree,0,0,0,0,0,0
2646,of counting chakras mamma cone must regular remember chakras flying laughing loud,0,0,0,0,0,0
2647,tag,0,0,0,0,0,0
2648,walk abercrombie fitch name trent shirt really shell necklace,0,0,0,0,0,0
2649,twitter username,0,0,0,0,0,0
2650,amazing,0,0,0,0,0,0
2651,cool,0,0,0,0,0,0
2652,freakin know,0,0,0,0,0,0
2653,hating word,0,0,0,0,0,0
2654,beautiful word ever true,0,0,0,0,0,0
2655,boo become heel Turtle,0,0,0,0,0,0
2656,hayes wearing cameron dallas sweater,0,0,0,0,0,0
2657,like tearing looking old pic wagon miss bad come far since then,0,0,0,0,0,0
2658,well like year seven fancied guy fancied far year eight apparently started like back little bit like suddenly stopped liking anyway really like best friend barely know soo stuck probably problem mean let u face would fancy anyway know really pathetic compared problem feel good tell someone make funny eye wiggle eyebrow whatever whenever stood like five meter yeah bye reply want care,0,0,0,0,0,0
2659,kirk shit wish could jump rasheed body,0,0,0,0,0,0
2660,love tou,0,0,0,0,0,0
2661,say sister Teasing,0,0,0,0,0,0
2662,marry me perf,0,0,0,0,0,0
2663,damm wana label,0,0,0,0,0,0
2664,oh fucking god cam,0,0,0,0,0,0
2665,cute Discarding hot,0,0,0,0,0,0
2666,mind business decide thing like without proof understand angry thats fine keep please,0,0,0,0,0,0
2667,beautiful,0,0,0,0,0,0
2668,blue eye,0,0,0,0,0,0
2669,sin equal Whatever sin worse make better sin differently equal Whatever tell lie another man murder matter Whatever sin horrible sin greater otherWhatever god exists find soon enoughWhatever believe god cannot see hear god supposed seen heardWhatever supposed believed faith isWhatever people go churchWhatever people pray believe somethingWhatever nobody prove god real die standing gate heavenWhatever take opinion shove assWhatever get pageWhatever also people pray god forgiveness give pityWhatever fool among foolsWhatever forgiven sent kingdom heaven god choiceWhatever sent heaven actionsWhatever,0,0,0,0,0,0
2670,u Rolling Floor Laughing,0,0,0,0,0,0
2671,fucking amazing,0,0,0,0,0,0
2672,beautiful,0,0,0,0,0,0
2673,ask ask hate people christ like,0,0,0,0,0,0
2674,seems like taco,0,0,0,0,0,0
2675,saw oh god ill,0,0,0,0,0,0
2676,adorable like seriously,0,0,0,0,0,0
2677,nasty,0,0,0,0,0,0
2678,anything lemonade,0,0,0,0,0,0
2679,bae quit slaying,0,0,0,0,0,0
2680,darling sophia,0,0,0,0,0,0
2681,lay,0,0,0,0,0,0
2682,used different apps,0,0,0,0,0,0
2683,laughing,0,0,0,0,0,0
2684,laughing loud okay,0,0,0,0,0,0
2685,boy got dance fever,0,0,0,0,0,0
2686,alberto dell riot,0,0,0,0,0,0
2687,say brain,0,0,0,0,0,0
2688,god love everybody matter sin commit sin one perfect christianity bettering best ability every day judging others frankly god quit pointing blame christian judgmental asshole making pass people gay certainly christian since cannot keep mouth shut love people matter are do,0,0,0,0,0,0
2689,sip,0,0,0,0,0,0
2690,go sky go work bye bye,0,0,0,0,0,0
2691,really believe stuff saying,0,0,0,0,0,0
2692,hahaha would,0,0,0,0,0,0
2693,never heard tie anyone explain,0,0,0,0,0,0
2694,hahaha nice work teen,0,0,0,0,0,0
2695,sorry excuse man,0,0,0,0,0,0
2696,stop bye,0,0,0,0,0,0
2697,afraid one like school also afraid heart broken boy ever going like,0,0,0,0,0,0
2698,want shirt seriously go shopping,0,0,0,0,0,0
2699,lao horrible weird female like list go real dude would pas look cool good year newer model come along get traded long term wanted line prostitute would put call girl payroll,0,0,0,0,0,0
2700,unicorn bacon,0,0,0,0,0,0
2701,old,0,0,0,0,0,0
2702,comin sneakermob show saturday it cool meet,0,0,0,0,0,0
2703,come brazil baby,0,0,0,0,0,0
2704,yes,0,0,0,0,0,0
2705,actually read stuff laughing loud,0,0,0,0,0,0
2706,another,0,0,0,0,0,0
2707,brother miss cannot wait till kev touch keep flossing my frosty need little brother,0,0,0,0,0,0
2708,much exercise bad guy everything moderation,0,0,0,0,0,0
2709,lord exist hope one day believe died rose died love want come walk heaven accept lord savior love exist,0,0,0,0,0,0
2710,forever moved texas military parent miss never got tell great person amazing yeah never forgiven know fault well know ugh life weird actually kind feel better vent else think would explode wish someone someone new like lose befriend literally hate ink cannot right anyways hate society treat everyone differently separate rich poor big small normal elia even care anymore want scared allowed people say perfect really stamp lying would rather someone love enough tell truth,0,0,0,0,0,0
2711,aw,0,0,0,0,0,0
2712,perfect,0,0,0,0,0,0
2713,need fuckin shirt,0,0,0,0,0,0
2714,escalated quickly,0,0,0,0,0,0
2715,loo cannot cook shit gonna learn though,0,0,0,0,0,0
2716,laughing loud laughing loud squat gain as want shirt,0,0,0,0,0,0
2717,illuminati a this bafamet,0,0,0,0,0,0
2718,yeah read already blew need another barf bag,0,0,0,0,0,0
2719,jesus angered sin christian goal like hate judging either,0,0,0,0,0,0
2720,stop real number thing cannot see phone got broken lol,0,0,0,0,0,0
2721,show vid send skype believe,0,0,0,0,0,0
2722,pussy pussy,0,0,0,0,0,0
2723,dopest video,0,0,0,0,0,0
2724,ggaayy bacon,0,0,0,0,0,0
2725,look like serial killer,0,0,0,0,0,0
2726,menudo hook que monitor Laughing,0,0,0,0,0,0
2727,oh god,0,0,0,0,0,0
2728,freedom speech like people say kick rock,0,0,0,0,0,0
2729,adorable aww,0,0,0,0,0,0
2730,old,0,0,0,0,0,0
2731,guy make perfect couple xoxo,0,0,0,0,0,0
2732,cool,0,0,0,0,0,0
2733,happy birthday brother,0,0,0,0,0,0
2734,leave like comment photo please,0,0,0,0,0,0
2735,cute tbe,0,0,0,0,0,0
2736,chill outWhatever plenty gay religious peopleWhatever gay mean shun religion Whatever god put gay people earth reasonWhatever preaching god word correctlyWhatever want u save everyone say cannot believe god something feel heartWhatever girl byeWhatever,0,0,0,0,0,0
2737,look give idea,0,0,0,0,0,0
2738,liam dancing like cutest thing ever weakness,0,0,0,0,0,0
2739,love voice,0,0,0,0,0,0
2740,duck tall matter sign born fix shit,0,0,0,0,0,0
2741,happy birthday eric,0,0,0,0,0,0
2742,erik walking beginning,0,0,0,0,0,0
2743,problem,0,0,0,0,0,0
2744,love hair,0,0,0,0,0,0
2745,get saying believe fact god real believe believe bible old make le true,0,0,0,0,0,0
2746,aw bet even nicer person good heart,0,0,0,0,0,0
2747,fucking mac miller spelled backwards,0,0,0,0,0,0
2748,read cray fucking wizard,0,0,0,0,0,0
2749,gay bacon,0,0,0,0,0,0
2750,mean,0,0,0,0,0,0
2751,like shoe Winking,0,0,0,0,0,0
2752,nice bedding,0,0,0,0,0,0
2753,yes,0,0,0,0,0,0
2754,spit raw,0,0,0,0,0,0
2755,cam liked,0,0,0,0,0,0
2756,congrats om,0,0,0,0,0,0
2757,saying wrong swear thought song audition,0,0,0,0,0,0
2758,like get,0,0,0,0,0,0
2759,watched hell gave right om,0,0,0,0,0,0
2760,really notice fan,0,0,0,0,0,0
2761,lucky,0,0,0,0,0,0
2762,would like would ya think could handle girly mouth laughing,0,0,0,0,0,0
2763,female,0,0,0,0,0,0
2764,really stressed nervous right good life exited go back school feel like everybody going judge changed lot summer also huge piano theory test tomorrow parent played lot really scared horrible advice,0,0,0,0,0,0
2765,get job stop trying pimp wife take care brother Pretzel kid coward,0,0,0,0,0,0
2766,awesome,0,0,0,0,0,0
2767,am punk,0,0,0,0,0,0
2768,god head head others believe specific god god believe randomness god last time religious sect helped invent something make life easier people provide false hope something made thousand year ago georgia know read entire bible understood well enough say still believe know according bible property father right get married say traded couple cow pig married someone chance may like dislike based chance still property husband subject shitty life,0,0,0,0,0,0
2769,bad day,0,0,0,0,0,0
2770,damn world screwed pretty soon everyone want incest legalized also,0,0,0,0,0,0
2771,feel sorry chris poor baby young whatever find someone good later life,0,0,0,0,0,0
2772,shit made mad fuck Whatever dead assWhatever,0,0,0,0,0,0
2773,wow brother flex harder,0,0,0,0,0,0
2774,cannot even think good idea rather original death row record shirt needa think better design,0,0,0,0,0,0
2775,take note,0,0,0,0,0,0
2776,at bicicleta tem mais sort que eu Turtle pop Peace swag bike,0,0,0,0,0,0
2777,get hug,0,0,0,0,0,0
2778,show fake sure,0,0,0,0,0,0
2779,nobody eat gaaybacon,0,0,0,0,0,0
2780,perfect,0,0,0,0,0,0
2781,sexiest picture ever seen,0,0,0,0,0,0
2782,get colour even acrylic shape clean masking tape,0,0,0,0,0,0
2783,wizard,0,0,0,0,0,0
2784,moe run mother fucker thing gas run allay jo,0,0,0,0,0,0
2785,feel like parent fight lot know love deep know show stuf kiss hug stuff know show love make sad cannot expresstheir love also cousin keep getting random fight cannot stand abuse really love start fight smallest thing ugh pretty sure,0,0,0,0,0,0
2786,naked hunter,0,0,0,0,0,0
2787,preach,0,0,0,0,0,0
2788,faith many decides really think insane person delusional person could inspire million million people believe faith pretty sure,0,0,0,0,0,0
2789,shirt,0,0,0,0,0,0
2790,nice,0,0,0,0,0,0
2791,comment really post of,0,0,0,0,0,0
2792,jean short got one pair jean order,0,0,0,0,0,0
2793,please get married right,0,0,0,0,0,0
2794,tan picture in,0,0,0,0,0,0
2795,said of fucking weird watch together something,0,0,0,0,0,0
2796,love,0,0,0,0,0,0
2797,eye never think need new one,0,0,0,0,0,0
2798,love hayes sweatshirt,0,0,0,0,0,0
2799,please pray understanding cat better,0,0,0,0,0,0
2800,aww sammypetrou jealous cute second that thats talking about i tress Smile,0,0,0,0,0,0
2801,calm,0,0,0,0,0,0
2802,battle pack randy orion,0,0,0,0,0,0
2803,got right babe going start cutting friend Winking,0,0,0,0,0,0
2804,great couple deserve,0,0,0,0,0,0
2805,defiantly nigerian bambi,0,0,0,0,0,0
2806,tenshi elite wade barter elite,0,0,0,0,0,0
2807,if boy beyonce,0,0,0,0,0,0
2808,ref,0,0,0,0,0,0
2809,wish talented extremely gifted little bit jealous yea lied crush slow danced best friend whenever best friend forever crush together avoids together without best friend forever talk like friend like,0,0,0,0,0,0
2810,incest reaiiy whoie different ievei hang aiready iife go worry dang seif i ve gay,0,0,0,0,0,0
2811,hey please message help process redeem giveaway thanks winner,0,0,0,0,0,0
2812,set stop believing everything to especially reality show suh get hi money,0,0,0,0,0,0
2813,get better moved missed friend moved come visit always get see maybe set skype facetime,0,0,0,0,0,0
2814,original,0,0,0,0,0,0
2815,go quote pac song pac man recently said illuminati stupid fuck,0,0,0,0,0,0
2816,lit tea,0,0,0,0,0,0
2817,song,0,0,0,0,0,0
2818,lie lie laughing loud laughing whatever discover lol irish think mowing lawn level aha old been small mine house wherever lay head pillow post laughing loud people front struggling check check act like thing via internet especially thing nobody focus ig comment stand alone need none come back star want star cannot handle hate used never neighborhood rat lol highly educated go berkeley please say still college lol black really mad sweetie time laughing loud,0,0,0,0,0,0
2819,slut laughing as stalking mee laughing loud,0,0,0,0,0,0
2820,male,0,0,0,0,0,0
2821,go darling let know ever want chat,0,0,0,0,0,0
2822,series mason ryan white randy orion green battle pack chair,0,0,0,0,0,0
2823,love need know fuck everyone else jealous abuse perfect cannot,0,0,0,0,0,0
2824,mac fall hard much illuminati bull shit,0,0,0,0,0,0
2825,cute cannot breathe wow,0,0,0,0,0,0
2826,virgin pi a colada,0,0,0,0,0,0
2827,sweet smile,0,0,0,0,0,0
2828,pink shoe,0,0,0,0,0,0
2829,polo joint tight fuck,0,0,0,0,0,0
2830,mega giles tor i rest du next und i rest mich abbonieren,0,0,0,0,0,0
2831,gay bacon like,0,0,0,0,0,0
2832,atheism defined lack belief god deity,0,0,0,0,0,0
2833,year would even discussion gay nobody care like care mixed race couple sharing bathroom someone white get people really care much someone else happiness really look mirror see wrong go judging others,0,0,0,0,0,0
2834,bad day sweet little pill try lexi blonde guy Nodding think zack Insane cute Nodding,0,0,0,0,0,0
2835,dead,0,0,0,0,0,0
2836,love,0,0,0,0,0,0
2837,sksjsiejajdwkckisjdejdjsjja holy fuck lucky little shit,0,0,0,0,0,0
2838,hell yea watch hi back homie right,0,0,0,0,0,0
2839,still even know though,0,0,0,0,0,0
2840,soul account,0,0,0,0,0,0
2841,got muscle my,0,0,0,0,0,0
2842,fuck gun use fist,0,0,0,0,0,0
2843,jam,0,0,0,0,0,0
2844,wolfblood animal Peace talkin news reporter,0,0,0,0,0,0
2845,solo one word chinese,0,0,0,0,0,0
2846,mean sweet little pill titanium,0,0,0,0,0,0
2847,your cute,0,0,0,0,0,0
2848,mad though live life living,0,0,0,0,0,0
2849,wwe battle pack series mason ryan randy orion chair,0,0,0,0,0,0
2850,act to probably straight laughing got cussing,0,0,0,0,0,0
2851,na news nba,0,0,0,0,0,0
2852,two handsome men,0,0,0,0,0,0
2853,trinket,0,0,0,0,0,0
2854,know,0,0,0,0,0,0
2855,a meu deus amor,0,0,0,0,0,0
2856,know ieen thii nick italking thought i i ig Streiied,0,0,0,0,0,0
2857,wizard,0,0,0,0,0,0
2858,contacted stylist package shipped end day wednesday,0,0,0,0,0,0
2859,cannot see well enough know point trying show,0,0,0,0,0,0
2860,el para so,0,0,0,0,0,0
2861,awesome,0,0,0,0,0,0
2862,recommend shop laughing lot tree,0,0,0,0,0,0
2863,right people never learn eventually people going to learn quit bitching matter may always someone disagrees,0,0,0,0,0,0
2864,fucking idol,0,0,0,0,0,0
2865,cozy,0,0,0,0,0,0
2866,email address,0,0,0,0,0,0
2867,ja e vor det got,0,0,0,0,0,0
2868,know information dear friend,0,0,0,0,0,0
